datetime,T5
2021-03-29 00:00:01,293.41
2021-03-29 00:00:41,293.642
2021-03-29 00:01:21,293.717
2021-03-29 00:02:01,293.536
2021-03-29 00:02:42,293.7
2021-03-29 00:03:22,293.586
2021-03-29 00:04:02,293.544
2021-03-29 00:04:42,293.705
2021-03-29 00:05:22,293.581
2021-03-29 00:06:02,293.598
2021-03-29 00:06:42,293.609
2021-03-29 00:07:22,293.615
2021-03-29 00:08:02,293.646
2021-03-29 00:08:43,293.69
2021-03-29 00:09:23,293.764
2021-03-29 00:10:03,293.651
2021-03-29 00:10:43,293.719
2021-03-29 00:11:23,293.525
2021-03-29 00:12:03,293.658
2021-03-29 00:12:43,293.697
2021-03-29 00:13:24,293.437
2021-03-29 00:14:04,293.446
2021-03-29 00:14:44,293.663
2021-03-29 00:15:24,293.565
2021-03-29 00:16:04,293.547
2021-03-29 00:16:44,293.529
2021-03-29 00:17:24,293.678
2021-03-29 00:18:05,293.571
2021-03-29 00:18:45,293.626
2021-03-29 00:19:25,293.519
2021-03-29 00:20:05,293.535
2021-03-29 00:20:45,293.586
2021-03-29 00:21:25,293.549
2021-03-29 00:22:05,293.531
2021-03-29 00:22:46,293.59
2021-03-29 00:23:26,293.56
2021-03-29 00:24:06,293.466
2021-03-29 00:24:46,293.587
2021-03-29 00:25:26,293.658
2021-03-29 00:26:06,293.565
2021-03-29 00:26:46,293.61
2021-03-29 00:27:27,293.557
2021-03-29 00:28:07,293.543
2021-03-29 00:28:47,293.686
2021-03-29 00:29:27,293.576
2021-03-29 00:30:07,293.675
2021-03-29 00:30:47,293.584
2021-03-29 00:31:28,293.611
2021-03-29 00:32:08,293.676
2021-03-29 00:32:48,293.653
2021-03-29 00:33:28,293.64
2021-03-29 00:34:08,293.688
2021-03-29 00:34:48,293.604
2021-03-29 00:35:29,293.599
2021-03-29 00:36:09,293.477
2021-03-29 00:36:49,293.573
2021-03-29 00:37:29,293.64
2021-03-29 00:38:09,293.517
2021-03-29 00:38:49,293.587
2021-03-29 00:39:29,293.689
2021-03-29 00:40:09,293.561
2021-03-29 00:40:50,293.56
2021-03-29 00:41:30,293.588
2021-03-29 00:42:10,293.522
2021-03-29 00:42:50,293.577
2021-03-29 00:43:30,293.704
2021-03-29 00:44:10,293.633
2021-03-29 00:44:50,293.59
2021-03-29 00:45:31,293.595
2021-03-29 00:46:11,293.595
2021-03-29 00:46:51,293.506
2021-03-29 00:47:31,293.67
2021-03-29 00:48:11,293.606
2021-03-29 00:48:51,293.567
2021-03-29 00:49:31,293.544
2021-03-29 00:50:11,293.507
2021-03-29 00:50:51,293.426
2021-03-29 00:51:32,293.567
2021-03-29 00:52:12,293.576
2021-03-29 00:52:52,293.575
2021-03-29 00:53:32,293.482
2021-03-29 00:54:12,293.65
2021-03-29 00:54:52,293.696
2021-03-29 00:55:33,293.565
2021-03-29 00:56:13,293.529
2021-03-29 00:56:53,293.603
2021-03-29 00:57:33,293.561
2021-03-29 00:58:13,293.679
2021-03-29 00:58:53,293.535
2021-03-29 00:59:34,293.55
2021-03-29 01:00:14,293.6
2021-03-29 01:00:54,293.663
2021-03-29 01:01:34,293.705
2021-03-29 01:02:14,293.631
2021-03-29 01:02:54,293.635
2021-03-29 01:03:34,293.714
2021-03-29 01:04:14,293.661
2021-03-29 01:04:55,293.586
2021-03-29 01:05:35,293.715
2021-03-29 01:06:15,293.628
2021-03-29 01:06:55,293.653
2021-03-29 01:07:35,293.441
2021-03-29 01:08:15,293.531
2021-03-29 01:08:55,293.563
2021-03-29 01:09:35,293.705
2021-03-29 01:10:15,293.582
2021-03-29 01:10:55,293.659
2021-03-29 01:11:36,293.568
2021-03-29 01:12:16,293.525
2021-03-29 01:12:56,293.618
2021-03-29 01:13:36,293.602
2021-03-29 01:14:16,293.622
2021-03-29 01:14:56,293.597
2021-03-29 01:15:36,293.725
2021-03-29 01:16:17,293.572
2021-03-29 01:16:57,293.638
2021-03-29 01:17:37,293.658
2021-03-29 01:18:17,293.533
2021-03-29 01:18:57,293.709
2021-03-29 01:19:38,293.683
2021-03-29 01:20:18,293.589
2021-03-29 01:20:58,293.681
2021-03-29 01:21:38,293.523
2021-03-29 01:22:18,293.729
2021-03-29 01:22:58,293.635
2021-03-29 01:23:38,293.557
2021-03-29 01:24:19,293.531
2021-03-29 01:24:59,293.62
2021-03-29 01:25:39,293.456
2021-03-29 01:26:19,293.588
2021-03-29 01:26:59,293.609
2021-03-29 01:27:39,293.498
2021-03-29 01:28:20,293.66
2021-03-29 01:29:00,293.621
2021-03-29 01:29:40,293.509
2021-03-29 01:30:20,293.512
2021-03-29 01:31:00,293.529
2021-03-29 01:31:40,293.593
2021-03-29 01:32:20,293.578
2021-03-29 01:33:00,293.507
2021-03-29 01:33:41,293.6
2021-03-29 01:34:21,293.646
2021-03-29 01:35:01,293.548
2021-03-29 01:35:41,293.646
2021-03-29 01:36:21,293.598
2021-03-29 01:37:01,293.57
2021-03-29 01:37:41,293.511
2021-03-29 01:38:22,293.644
2021-03-29 01:39:02,293.575
2021-03-29 01:39:42,293.561
2021-03-29 01:40:22,293.663
2021-03-29 01:41:02,293.52
2021-03-29 01:41:42,293.523
2021-03-29 01:42:22,293.539
2021-03-29 01:43:02,293.595
2021-03-29 01:43:43,293.61
2021-03-29 01:44:23,293.627
2021-03-29 01:45:03,293.637
2021-03-29 01:45:43,293.507
2021-03-29 01:46:23,293.636
2021-03-29 01:47:03,293.591
2021-03-29 01:47:43,293.565
2021-03-29 01:48:23,293.665
2021-03-29 01:49:03,293.787
